...1,player_name,position,attempts,completions,comp_pct,pass_yd,pass_td,int,rush_yd,rush_td,fumbles_lost,two_point,fantasy_ppr,weeks_played,calc_fantasy_unfinished,carries,trgt,receptions,rec_yd,rec_td,trgt_share
13,J.Reynolds,WR,NA,NA,NA,NA,NA,NA,0,0,0,0,103.9,12,84.9,0,59,38,479,3,0.100511073253833
14,D.Chark,WR,NA,NA,NA,NA,NA,NA,0,0,0,0,98.2,11,83.2,0,52,30,502,3,0.0885860306643952
15,T.Kennedy,WR,NA,NA,NA,NA,NA,NA,0,0,0,0,22.1,5,18.1,0,15,8,141,0,0.0255536626916525
16,J.Williams,WR,NA,NA,NA,NA,NA,NA,40,0,0,0,15.1,6,14.6,1,9,1,41,1,0.0153321976149915
17,Q.Cephus,WR,NA,NA,NA,NA,NA,NA,0,0,0,0,3.5,1,2.5,0,3,2,15,0,0.00511073253833049
18,M.Alexander,WR,NA,NA,NA,NA,NA,NA,0,0,0,0,1.7,1,1.2,0,1,1,7,0,0.00170357751277683
1,A.Rodgers,QB,542,350,64.58%,3695,26,12,94,1,4,2,239.2,17,251.2,NA,NA,NA,NA,NA,NA
2,J.Love,QB,21,14,66.67%,195,1,0,-1,0,0,0,11.7,4,11.7,NA,NA,NA,NA,NA,NA
3,A.Jones,RB,NA,NA,NA,NA,NA,NA,1121,2,3,1,248.6,17,219.1,213,72,59,395,5,0.127886323268206
4,A.Dillon,RB,NA,NA,NA,NA,NA,NA,770,7,0,0,167.6,17,153.6,186,43,28,206,0,0.0763765541740675
5,P.Taylor,RB,NA,NA,NA,NA,NA,NA,31,0,0,0,5.8,4,5.3,10,1,1,17,0,0.00177619893428064
6,K.Hill,RB,NA,NA,NA,NA,NA,NA,7,0,0,0,0.7,1,0.7,1,0,0,0,0,0
7,R.Tonyan,TE,NA,NA,NA,NA,NA,NA,0,0,0,0,112,17,85.5,0,67,53,470,2,0.119005328596803
8,M.Lewis,TE,NA,NA,NA,NA,NA,NA,0,0,0,1,26.6,6,23.6,0,7,6,66,2,0.0124333925399645
9,J.Deguara,TE,NA,NA,NA,NA,NA,NA,0,0,0,0,24.4,9,17.9,0,15,13,114,0,0.0266429840142096
10,T.Davis,TE,NA,NA,NA,NA,NA,NA,0,0,0,0,6.6,5,4.6,0,7,4,26,0,0.0124333925399645
11,A.Lazard,WR,NA,NA,NA,NA,NA,NA,0,0,0,0,174.8,15,144.8,2,100,60,788,6,0.177619893428064
12,C.Watson,WR,NA,NA,NA,NA,NA,NA,80,2,0,0,164.1,14,143.6,7,66,41,611,7,0.117229129662522
13,R.Doubs,WR,NA,NA,NA,NA,NA,NA,11,0,1,0,101.6,13,80.6,1,67,42,425,3,0.119005328596803
14,R.Cobb,WR,NA,NA,NA,NA,NA,NA,0,0,0,0,81.7,13,64.7,0,50,34,417,1,0.088809946714032
15,S.Watkins,WR,NA,NA,NA,NA,NA,NA,0,0,0,0,33.6,7,27.1,0,22,13,206,0,0.0390763765541741
16,S.Toure,WR,NA,NA,NA,NA,NA,NA,0,0,0,0,19.2,4,16.7,0,10,5,82,1,0.0177619893428064
17,A.Rodgers,WR,NA,NA,NA,NA,NA,NA,0,0,0,0,9,4,7,0,8,4,50,0,0.0142095914742451
18,J.Winfree,WR,NA,NA,NA,NA,NA,NA,0,0,0,0,2.7,3,2.2,0,4,1,17,0,0.00710479573712256
1,D.Mills,QB,479,292,60.96%,3118,17,15,108,2,3,1,181.52,15,196.52,NA,NA,NA,NA,NA,NA
2,J.Driskel,QB,20,14,70.00%,108,1,0,75,0,0,0,17.22,7,15.82,NA,NA,NA,NA,NA,NA
3,K.Allen,QB,78,46,58.97%,416,2,4,13,0,1,0,15.94,2,19.94,NA,NA,NA,NA,NA,NA
4,D.Pierce,RB,NA,NA,NA,NA,NA,NA,939,4,2,0,166.4,13,151.4,220,39,30,165,1,0.0675909878682842
5,R.Burkhead,RB,NA,NA,NA,NA,NA,NA,80,0,0,0,71.4,15,52.9,26,51,37,204,1,0.0883882149046794
6,D.Ogunbowale,RB,NA,NA,NA,NA,NA,NA,123,1,0,0,48.7,11,38.7,42,26,20,104,0,0.0450606585788562
7,R.Freeman,RB,NA,NA,NA,NA,NA,NA,117,0,1,0,19,4,16,41,8,6,33,0,0.0138648180242634
8,E.Benjamin,RB,NA,NA,NA,NA,NA,NA,1,0,0,0,0.1,1,0.1,3,0,0,0,0,0
9,J.Akins,TE,NA,NA,NA,NA,NA,NA,0,0,1,1,116.5,15,98,0,54,37,495,5,0.0935875216637782
10,O.Howard,TE,NA,NA,NA,NA,NA,NA,0,0,0,0,36.5,11,31.5,0,23,10,145,2,0.0398613518197574
11,T.Quitoriano,TE,NA,NA,NA,NA,NA,NA,0,0,0,0,30.3,7,26.8,0,14,7,113,2,0.024263431542461
12,B.Jordan,TE,NA,NA,NA,NA,NA,NA,0,0,0,0,26.8,9,19.8,0,28,14,128,0,0.048526863084922
13,P.Brown,TE,NA,NA,NA,NA,NA,NA,0,0,0,0,14.2,3,10.7,0,10,7,72,0,0.0173310225303293
14,M.Schreck,TE,NA,NA,NA,NA,NA,NA,0,0,0,0,2.6,2,1.6,0,2,2,6,0,0.00346620450606586
15,B.Cooks,WR,NA,NA,NA,NA,NA,NA,7,0,0,0,145.6,13,117.1,2,93,57,699,3,0.161178509532062
16,C.Moore,WR,NA,NA,NA,NA,NA,NA,3,0,0,0,115.1,15,91.1,3,74,48,548,2,0.128249566724437
17,N.Collins,WR,NA,NA,NA,NA,NA,NA,0,0,0,0,97.1,10,78.6,0,66,37,481,2,0.114384748700173
18,P.Dorsett,WR,NA,NA,NA,NA,NA,NA,0,0,0,0,51.7,14,41.7,0,40,20,257,1,0.0693240901213172
19,A.Rodgers,WR,NA,NA,NA,NA,NA,NA,7,0,0,0,34.1,5,28.1,2,17,12,154,1,0.0294627383015598
20,T.Johnson,WR,NA,NA,NA,NA,NA,NA,0,0,0,0,1.8,1,1.3,0,1,1,8,0,0.00173310225303293
21,J.Camp,WR,NA,NA,NA,NA,NA,NA,0,0,0,0,1.7,1,1.2,0,1,1,7,0,0.00173310225303293
22,C.Conley,WR,NA,NA,NA,NA,NA,NA,0,0,0,0,0,1,0,0,2,0,0,0,0.00346620450606586
1,M.Ryan,QB,461,309,67.03%,3057,14,13,70,1,5,0,155.28,12,168.28,NA,NA,NA,NA,NA,NA
2,S.Ehlinger,QB,101,64,63.37%,573,3,3,87,0,1,0,35.62,4,38.62,NA,NA,NA,NA,NA,NA
3,N.Foles,QB,42,25,59.52%,224,0,4,8,0,0,0,1.76,2,5.76,NA,NA,NA,NA,NA,NA
4,J.Taylor,RB,NA,NA,NA,NA,NA,NA,861,4,3,0,146.4,11,132.4,192,40,28,143,0,0.0662251655629139
5,D.Jackson,RB,NA,NA,NA,NA,NA,NA,236,1,1,0,84.5,12,69.5,68,34,30,209,1,0.0562913907284768
6,N.Hines,RB,NA,NA,NA,NA,NA,NA,36,1,0,0,53.4,7,40.9,18,28,25,188,0,0.0463576158940397
7,Z.Moss,RB,NA,NA,NA,NA,NA,NA,365,1,0,0,47.7,8,45.7,76,5,4,12,0,0.00827814569536424
8,P.Lindsay,RB,NA,NA,NA,NA,NA,NA,49,0,0,1,14.8,3,11.8,15,8,6,19,0,0.0132450331125828
9,J.Wilkins,RB,NA,NA,NA,NA,NA,NA,58,0,0,0,14.7,4,11.7,13,8,6,29,0,0.0132450331125828
10,J.Woods,TE,NA,NA,NA,NA,NA,NA,0,0,0,0,74.2,12,61.7,0,40,25,312,3,0.0662251655629139
11,K.Granson,TE,NA,NA,NA,NA,NA,NA,0,0,0,0,61.2,13,45.7,1,40,31,302,0,0.0662251655629139
12,M.Alie-Cox,TE,NA,NA,NA,NA,NA,NA,0,0,1,0,53.9,14,44.4,0,28,19,189,3,0.0463576158940397
13,M.Pittman,WR,NA,NA,NA,NA,NA,NA,30,0,1,0,216.5,16,167,3,141,99,925,4,0.233443708609272
14,P.Campbell,WR,NA,NA,NA,NA,NA,NA,58,0,0,0,149.1,17,117.6,5,91,63,623,3,0.150662251655629
15,A.Pierce,WR,NA,NA,NA,NA,NA,NA,0,0,0,0,112.3,16,91.8,0,78,41,593,2,0.129139072847682
16,A.Dulin,WR,NA,NA,NA,NA,NA,NA,8,0,0,0,42.5,7,35,2,22,15,207,1,0.0364238410596026
17,M.Strachan,WR,NA,NA,NA,NA,NA,NA,0,0,0,0,8.9,5,7.4,0,9,3,59,0,0.0149006622516556
18,D.Patmon,WR,NA,NA,NA,NA,NA,NA,0,0,0,0,4.4,1,3.4,0,6,2,24,0,0.00993377483443709
19,K.Coutee,WR,NA,NA,NA,NA,NA,NA,0,0,1,0,1,1,0.5,0,1,1,20,0,0.00165562913907285
1,T.Lawrence,QB,584,387,66.27%,4113,25,8,291,5,9,3,295.62,17,303.62,NA,NA,NA,NA,NA,NA
2,C.Beathard,QB,11,7,63.64%,35,0,1,-4,0,0,0,-1,4,0,NA,NA,NA,NA,NA,NA
3,T.Etienne,RB,NA,NA,NA,NA,NA,NA,1125,5,4,1,203.1,17,185.6,220,45,35,316,0,0.0756302521008403
4,J.Robinson,RB,NA,NA,NA,NA,NA,NA,340,3,0,0,71.6,7,67.1,81,11,9,46,1,0.0184873949579832
5,J.Hasty,RB,NA,NA,NA,NA,NA,NA,194,2,0,0,70,14,60,46,26,20,126,1,0.0436974789915966
6,S.Conner,RB,NA,NA,NA,NA,NA,NA,42,1,0,0,10.2,5,10.2,12,0,0,0,0,0
7,E.Engram,TE,NA,NA,NA,NA,NA,NA,13,0,0,1,176.9,17,140.4,2,98,73,766,4,0.164705882352941
8,D.Arnold,TE,NA,NA,NA,NA,NA,NA,0,0,0,0,22.5,10,18,0,13,9,135,0,0.0218487394957983
9,C.Manhertz,TE,NA,NA,NA,NA,NA,NA,0,0,0,0,10.2,6,7.2,0,8,6,42,0,0.0134453781512605
10,L.Farrell,TE,NA,NA,NA,NA,NA,NA,0,0,0,0,8,4,6,0,4,4,40,0,0.00672268907563025
11,C.Kirk,WR,NA,NA,NA,NA,NA,NA,11,0,0,0,243.9,17,201.9,5,133,84,1108,8,0.223529411764706
12,Z.Jones,WR,NA,NA,NA,NA,NA,NA,18,0,0,1,198.1,16,157.1,4,121,82,823,5,0.203361344537815
13,M.Jones,WR,NA,NA,NA,NA,NA,NA,0,0,0,0,116.9,16,93.9,0,81,46,529,3,0.136134453781513
14,J.Agnew,WR,NA,NA,NA,NA,NA,NA,86,0,0,1,70.3,14,58.8,12,30,23,187,3,0.0504201680672269
15,T.Jones,WR,NA,NA,NA,NA,NA,NA,0,0,0,0,6,4,4.5,0,4,3,30,0,0.00672268907563025
1,P.Mahomes,QB,648,435,67.13%,5250,41,12,358,4,0,3,417.4,17,427.8,NA,NA,NA,NA,NA,NA
2,C.Henne,QB,2,0,0.00%,0,0,0,-5,0,0,0,-0.5,2,-0.5,NA,NA,NA,NA,NA,NA
3,J.McKinnon,RB,NA,NA,NA,NA,NA,NA,291,1,1,1,196.3,17,168.3,72,71,56,512,9,0.109230769230769
4,I.Pacheco,RB,NA,NA,NA,NA,NA,NA,830,5,2,0,135,17,128.5,170,14,13,130,0,0.0215384615384615
5,C.Edwards-Helaire,RB,NA,NA,NA,NA,NA,NA,302,3,0,0,98.3,10,89.8,71,23,17,151,3,0.0353846153846154
6,R.Jones,RB,NA,NA,NA,NA,NA,NA,70,1,0,0,16.2,5,15.7,17,1,1,22,0,0.00153846153846154
7,T.Kelce,TE,NA,NA,NA,NA,NA,NA,5,0,1,1,316.3,17,261.3,2,152,110,1338,12,0.233846153846154
8,N.Gray,TE,NA,NA,NA,NA,NA,NA,1,1,0,0,70,17,56,1,34,28,299,1,0.0523076923076923
9,J.Fortson,TE,NA,NA,NA,NA,NA,NA,0,0,0,0,31.8,9,27.3,0,13,9,108,2,0.02
10,B.Bell,TE,NA,NA,NA,NA,NA,NA,0,0,0,0,10,2,9,0,2,2,20,1,0.00307692307692308
11,J.Smith-Schuster,WR,NA,NA,NA,NA,NA,NA,0,0,2,0,185.3,16,146.3,0,101,78,933,3,0.155384615384615
12,M.Valdes-Scantling,WR,NA,NA,NA,NA,NA,NA,-3,0,0,0,122.4,17,101.4,1,81,42,687,2,0.124615384615385
13,M.Hardman,WR,NA,NA,NA,NA,NA,NA,31,2,0,0,93.8,8,81.3,4,34,25,297,4,0.0523076923076923
14,J.Watson,WR,NA,NA,NA,NA,NA,NA,0,0,0,0,58.5,17,51,0,34,15,315,2,0.0523076923076923
15,K.Toney,WR,NA,NA,NA,NA,NA,NA,59,1,0,0,55,7,48,5,17,14,171,2,0.0261538461538462
16,S.Moore,WR,NA,NA,NA,NA,NA,NA,24,0,0,0,49.4,14,38.4,3,33,22,250,0,0.0507692307692308
1,M.Stafford,QB,303,206,67.99%,2087,10,8,9,1,3,0,108.38,9,116.38,NA,NA,NA,NA,NA,NA
2,B.Mayfield,QB,129,82,63.57%,850,4,2,37,0,1,0,47.7,5,49.7,NA,NA,NA,NA,NA,NA
3,B.Perkins,QB,34,19,55.88%,161,1,2,90,0,0,0,15.44,5,17.44,NA,NA,NA,NA,NA,NA
4,J.Wolford,QB,62,38,61.29%,390,1,3,32,0,1,0,14.8,2,17.8,NA,NA,NA,NA,NA,NA
5,C.Akers,RB,NA,NA,NA,NA,NA,NA,786,7,2,0,141.3,15,134.8,188,18,13,117,0,0.0340909090909091
6,D.Henderson,RB,NA,NA,NA,NA,NA,NA,283,3,0,0,73.5,10,65,70,22,17,102,0,0.0416666666666667
7,K.Williams,RB,NA,NA,NA,NA,NA,NA,139,0,0,0,30.5,8,26,35,12,9,76,0,0.0227272727272727
8,M.Brown,RB,NA,NA,NA,NA,NA,NA,81,1,0,0,22.8,7,20.3,18,6,5,37,0,0.0113636363636364
9,R.Rivers,RB,NA,NA,NA,NA,NA,NA,21,0,0,0,10,2,7.5,9,5,5,29,0,0.00946969696969697
10,T.Higbee,TE,NA,NA,NA,NA,NA,NA,0,0,0,0,152,16,116,0,108,72,620,3,0.204545454545455
11,B.Hopkins,TE,NA,NA,NA,NA,NA,NA,0,0,0,0,17.9,7,14.4,0,11,7,109,0,0.0208333333333333
12,K.Blanton,TE,NA,NA,NA,NA,NA,NA,0,0,0,0,5.5,2,4.5,0,2,2,35,0,0.00378787878787879
13,C.Kupp,WR,NA,NA,NA,NA,NA,NA,52,1,1,0,201.4,9,163.9,9,98,75,812,6,0.185606060606061
14,A.Robinson,WR,NA,NA,NA,NA,NA,NA,0,0,0,0,84.9,10,68.4,0,52,33,339,3,0.0984848484848485
15,B.Skowronek,WR,NA,NA,NA,NA,NA,NA,17,1,0,0,84.3,14,64.8,1,61,39,376,0,0.115530303030303
16,V.Jefferson,WR,NA,NA,NA,NA,NA,NA,0,0,0,0,78.9,10,66.9,0,44,24,369,3,0.0833333333333333
17,T.Atwell,WR,NA,NA,NA,NA,NA,NA,34,1,0,0,63.2,12,54.2,9,35,18,298,1,0.0662878787878788
18,B.Powell,WR,NA,NA,NA,NA,NA,NA,80,0,0,0,47.6,16,35.6,17,32,24,156,0,0.0606060606060606
19,A.Trammell,WR,NA,NA,NA,NA,NA,NA,0,0,0,0,3.3,2,2.3,0,4,2,13,0,0.00757575757575758
20,J.Harris,WR,NA,NA,NA,NA,NA,NA,0,0,0,0,1.6,1,1.1,0,1,1,6,0,0.00189393939393939
21,L.McCutcheon,WR,NA,NA,NA,NA,NA,NA,0,0,0,0,0,2,0,0,5,0,0,0,0.00946969696969697
1,J.Herbert,QB,699,477,68.24%,4739,25,10,147,0,3,1,281.26,17,290.26,NA,NA,NA,NA,NA,NA
2,C.Daniel,QB,12,8,66.67%,52,1,0,4,0,0,1,8.48,3,8.48,NA,NA,NA,NA,NA,NA
3,A.Ekeler,RB,NA,NA,NA,NA,NA,NA,915,13,3,0,372.7,17,319.2,204,127,107,722,5,0.178621659634318
4,J.Kelley,RB,NA,NA,NA,NA,NA,NA,287,2,0,0,64.8,12,57.8,69,25,14,101,0,0.0351617440225035
5,S.Michel,RB,NA,NA,NA,NA,NA,NA,106,0,0,0,24.9,10,20.4,36,13,9,53,0,0.0182841068917018
6,Z.Horvath,RB,NA,NA,NA,NA,NA,NA,8,0,0,0,18.6,8,16.1,4,8,5,8,2,0.0112517580872011
7,I.Spiller,RB,NA,NA,NA,NA,NA,NA,41,0,0,0,8.4,5,6.9,18,3,3,13,0,0.00421940928270042
8,L.Rountree,RB,NA,NA,NA,NA,NA,NA,19,0,0,0,5.3,2,4.3,13,2,2,14,0,0.00281293952180028
9,G.Everett,TE,NA,NA,NA,NA,NA,NA,0,0,0,1,139.5,15,110.5,1,87,58,555,4,0.122362869198312
10,D.Parham,TE,NA,NA,NA,NA,NA,NA,0,0,0,0,29,6,24,0,12,10,130,1,0.0168776371308017
11,T.McKitty,TE,NA,NA,NA,NA,NA,NA,0,0,0,0,17.2,8,12.2,0,18,10,72,0,0.0253164556962025
12,S.Smartt,TE,NA,NA,NA,NA,NA,NA,0,0,0,0,5.7,3,3.7,0,5,4,17,0,0.0070323488045007
13,R.Rodgers,TE,NA,NA,NA,NA,NA,NA,0,0,0,0,1.4,3,0.9,0,4,1,4,0,0.00562587904360056
14,M.Williams,WR,NA,NA,NA,NA,NA,NA,0,0,0,0,176.5,13,145,0,93,63,895,4,0.130801687763713
15,J.Palmer,WR,NA,NA,NA,NA,NA,NA,4,0,0,1,169.3,16,133.3,1,107,72,769,3,0.150492264416315
16,K.Allen,WR,NA,NA,NA,NA,NA,NA,8,0,1,0,164,10,131,1,89,66,752,4,0.125175808720113
17,D.Carter,WR,NA,NA,NA,NA,NA,NA,-15,0,1,0,114.3,16,91.3,2,65,46,538,3,0.0914205344585091
18,M.Bandy,WR,NA,NA,NA,NA,NA,NA,0,0,0,0,18.9,7,13.9,0,21,10,89,0,0.029535864978903
19,J.Guyton,WR,NA,NA,NA,NA,NA,NA,0,0,0,0,8.4,2,7.4,0,4,2,64,0,0.00562587904360056
20,J.Moore,WR,NA,NA,NA,NA,NA,NA,0,0,0,0,1.5,1,1,0,2,1,5,0,0.00281293952180028
1,D.Carr,QB,502,305,60.76%,3522,24,14,102,0,0,0,219.08,15,233.08,NA,NA,NA,NA,NA,NA
2,J.Stidham,QB,83,53,63.86%,656,4,3,84,0,1,0,42.64,3,45.64,NA,NA,NA,NA,NA,NA
3,J.Jacobs,RB,NA,NA,NA,NA,NA,NA,1653,12,1,0,328.3,17,301.8,340,64,53,400,0,0.109401709401709
4,A.Abdullah,RB,NA,NA,NA,NA,NA,NA,20,0,0,0,54.1,13,41.6,4,32,25,211,1,0.0547008547008547
5,B.Bolden,RB,NA,NA,NA,NA,NA,NA,66,0,0,0,27.3,8,22.8,17,9,9,57,1,0.0153846153846154
6,Z.White,RB,NA,NA,NA,NA,NA,NA,70,0,0,0,7,11,7,17,0,0,0,0,0
7,F.Moreau,TE,NA,NA,NA,NA,NA,NA,0,0,0,0,87,14,70.5,0,54,33,420,2,0.0923076923076923
8,D.Waller,TE,NA,NA,NA,NA,NA,NA,0,0,0,0,84.8,8,70.8,0,43,28,388,3,0.0735042735042735
9,J.Horsted,TE,NA,NA,NA,NA,NA,NA,0,0,0,0,4.9,2,3.4,0,4,3,19,0,0.00683760683760684
10,D.Adams,WR,NA,NA,NA,NA,NA,NA,-1,0,0,0,335.5,17,285.5,3,180,100,1516,14,0.307692307692308
11,M.Hollins,WR,NA,NA,NA,NA,NA,NA,40,0,0,0,154.16,17,125.5,4,94,57,690,4,0.160683760683761
12,H.Renfrow,WR,NA,NA,NA,NA,NA,NA,0,0,1,0,79,10,61,0,50,36,330,2,0.0854700854700855
13,K.Cole,WR,NA,NA,NA,NA,NA,NA,0,0,0,0,30.1,9,25.1,0,21,10,141,1,0.0358974358974359
14,D.Turner,WR,NA,NA,NA,NA,NA,NA,26,0,0,0,2.6,2,2.6,4,1,0,0,0,0.00170940170940171
1,T.Tagovailoa,QB,400,259,64.75%,3548,25,8,70,0,1,0,230.92,13,238.92,NA,NA,NA,NA,NA,NA
2,T.Bridgewater,QB,79,49,62.03%,683,4,4,27,0,0,0,38.02,5,42.02,NA,NA,NA,NA,NA,NA
3,S.Thompson,QB,105,60,57.14%,534,1,3,21,0,2,0,17.46,7,20.46,NA,NA,NA,NA,NA,NA
4,R.Mostert,RB,NA,NA,NA,NA,NA,NA,891,3,1,0,168.3,16,152.8,181,42,31,202,2,0.0719178082191781
5,J.Wilson,RB,NA,NA,NA,NA,NA,NA,392,3,0,0,84.6,8,78.6,84,24,12,94,1,0.0410958904109589
6,C.Edmonds,RB,NA,NA,NA,NA,NA,NA,120,2,0,0,49.6,8,44.6,42,17,10,96,1,0.0291095890410959
7,S.Ahmed,RB,NA,NA,NA,NA,NA,NA,64,1,0,0,14.2,6,13.7,12,1,1,8,0,0.00171232876712329
8,M.Gaskin,RB,NA,NA,NA,NA,NA,NA,26,0,0,0,9.4,2,7.4,10,6,4,28,0,0.0102739726027397
9,M.Gesicki,TE,NA,NA,NA,NA,NA,NA,0,0,0,0,98.2,17,82.2,0,52,32,362,5,0.089041095890411
10,D.Smythe,TE,NA,NA,NA,NA,NA,NA,1,1,0,0,40,12,32.5,2,20,15,129,1,0.0342465753424658
11,T.Hill,WR,NA,NA,NA,NA,NA,NA,32,1,0,0,341.2,17,281.7,7,170,119,1710,7,0.291095890410959
12,J.Waddle,WR,NA,NA,NA,NA,NA,NA,26,0,1,0,259.2,17,221.7,3,117,75,1356,8,0.200342465753425
13,T.Sherfield,WR,NA,NA,NA,NA,NA,NA,0,0,0,0,83.7,16,68.7,0,51,30,417,2,0.0873287671232877
14,R.Cracraft,WR,NA,NA,NA,NA,NA,NA,0,0,0,0,31.2,8,26.7,0,14,9,102,2,0.023972602739726
15,C.Wilson,WR,NA,NA,NA,NA,NA,NA,8,0,0,0,26.4,9,20.4,1,18,12,136,0,0.0308219178082192
16,B.Sanders,WR,NA,NA,NA,NA,NA,NA,0,0,1,0,1.7,2,0.7,0,3,2,17,0,0.00513698630136986
17,E.Ezukanma,WR,NA,NA,NA,NA,NA,NA,0,0,0,0,1.3,1,0.8,0,1,1,3,0,0.00171232876712329
18,T.Conner,WR,NA,NA,NA,NA,NA,NA,0,0,0,0,0,2,0,0,3,0,0,0,0.00513698630136986
1,K.Cousins,QB,643,424,65.94%,4547,29,14,97,2,3,3,291.58,17,305.58,NA,NA,NA,NA,NA,NA
2,N.Mullens,QB,25,21,84.00%,224,1,1,8,0,0,0,11.76,4,12.76,NA,NA,NA,NA,NA,NA
3,D.Cook,RB,NA,NA,NA,NA,NA,NA,1173,8,3,0,237.8,17,220.3,264,56,39,295,2,0.0838323353293413
4,A.Mattison,RB,NA,NA,NA,NA,NA,NA,283,5,0,0,88.4,17,80.9,74,18,15,91,1,0.0269461077844311
5,K.Nwangwu,RB,NA,NA,NA,NA,NA,NA,14,0,0,0,11.5,3,4.5,9,2,2,21,0,0.0029940119760479
6,T.Chandler,RB,NA,NA,NA,NA,NA,NA,20,0,0,0,2,1,2,6,0,0,0,0,0
7,T.Hockenson,TE,NA,NA,NA,NA,NA,NA,0,0,1,1,129.9,10,99.9,0,86,60,519,3,0.12874251497006
8,I.Smith,TE,NA,NA,NA,NA,NA,NA,0,0,0,0,55.2,8,42.7,0,36,25,182,2,0.0538922155688623
9,J.Mundt,TE,NA,NA,NA,NA,NA,NA,0,0,0,0,39,13,29.5,0,21,19,140,1,0.031437125748503
10,B.Ellefson,TE,NA,NA,NA,NA,NA,NA,0,0,0,0,5.6,2,4.1,0,3,3,26,0,0.00449101796407186
11,J.Jefferson,WR,NA,NA,NA,NA,NA,NA,24,1,0,1,368.66,17,303.3,4,184,128,1809,8,0.275449101796407
12,A.Thielen,WR,NA,NA,NA,NA,NA,NA,4,0,0,1,180,17,145,1,107,70,716,6,0.160179640718563
13,K.Osborn,WR,NA,NA,NA,NA,NA,NA,6,0,0,0,155.6,17,125.6,3,90,60,650,5,0.134730538922156
14,J.Nailor,WR,NA,NA,NA,NA,NA,NA,0,0,0,0,32.9,5,28.4,0,13,9,179,1,0.0194610778443114
15,J.Reagor,WR,NA,NA,NA,NA,NA,NA,25,0,0,0,26.9,10,22.9,4,13,8,104,1,0.0194610778443114
1,M.Jones,QB,442,288,65.16%,2997,14,11,102,1,1,1,170.08,14,181.08,NA,NA,NA,NA,NA,NA
2,B.Zappe,QB,92,65,70.65%,781,5,3,0,0,3,0,39.64,4,42.24,NA,NA,NA,NA,NA,NA
3,B.Hoyer,QB,6,5,83.33%,37,0,0,0,0,0,0,1.48,1,1.48,NA,NA,NA,NA,NA,NA
4,R.Stevenson,RB,NA,NA,NA,NA,NA,NA,1040,5,1,0,249.1,17,214.6,210,88,69,421,1,0.162962962962963
5,D.Harris,RB,NA,NA,NA,NA,NA,NA,462,3,0,0,90.9,11,82.4,106,23,17,97,0,0.0425925925925926
6,P.Strong,RB,NA,NA,NA,NA,NA,NA,100,1,0,0,27.2,4,23.7,10,7,7,42,0,0.012962962962963
7,K.Harris,RB,NA,NA,NA,NA,NA,NA,52,1,0,0,11.2,5,11.2,18,0,0,0,0,0
8,J.Taylor,RB,NA,NA,NA,NA,NA,NA,9,0,0,0,2.7,1,2.2,10,1,1,8,0,0.00185185185185185
9,H.Henry,TE,NA,NA,NA,NA,NA,NA,0,0,0,0,103.9,16,83.4,0,59,41,509,2,0.109259259259259
10,J.Smith,TE,NA,NA,NA,NA,NA,NA,5,0,0,0,52,12,38.5,1,38,27,245,0,0.0703703703703704
11,J.Meyers,WR,NA,NA,NA,NA,NA,NA,9,0,1,1,184.3,14,150.8,2,96,67,804,6,0.177777777777778
12,D.Parker,WR,NA,NA,NA,NA,NA,NA,0,0,0,0,102.9,12,87.4,0,47,31,539,3,0.087037037037037
13,K.Bourne,WR,NA,NA,NA,NA,NA,NA,39,0,0,0,88.3,16,70.8,6,48,35,434,1,0.0888888888888889
14,N.Agholor,WR,NA,NA,NA,NA,NA,NA,0,0,2,0,75.2,14,59.7,0,53,31,362,2,0.0981481481481482
15,T.Thornton,WR,NA,NA,NA,NA,NA,NA,16,1,0,0,66.3,12,55.3,3,45,22,247,2,0.0833333333333333
16,T.Montgomery,WR,NA,NA,NA,NA,NA,NA,-2,0,0,0,10.3,1,8.8,2,4,3,15,1,0.00740740740740741
17,L.Humphrey,WR,NA,NA,NA,NA,NA,NA,0,0,0,0,4,3,3,0,4,2,20,0,0.00740740740740741
1,A.Dalton,QB,378,252,66.67%,2871,18,9,54,0,1,1,174.24,14,183.24,NA,NA,NA,NA,NA,NA
2,J.Winston,QB,115,73,63.48%,858,4,5,16,0,0,1,43.92,3,48.92,NA,NA,NA,NA,NA,NA
3,A.Kamara,RB,NA,NA,NA,NA,NA,NA,897,2,4,0,211.7,15,183.2,223,77,57,490,2,0.156186612576065
4,M.Ingram,RB,NA,NA,NA,NA,NA,NA,233,1,2,1,50.1,10,42.1,62,18,16,68,0,0.0365111561866126
5,L.Murray,RB,NA,NA,NA,NA,NA,NA,57,1,0,0,13.5,1,13,11,1,1,8,0,0.00202839756592292
6,D.Johnson,RB,NA,NA,NA,NA,NA,NA,24,0,1,0,9.1,4,7.1,12,4,4,47,0,0.00811359026369168
7,D.Washington,RB,NA,NA,NA,NA,NA,NA,38,0,0,0,5.5,3,5,11,1,1,7,0,0.00202839756592292
8,T.Jones,RB,NA,NA,NA,NA,NA,NA,8,0,0,0,4,1,3,2,2,2,12,0,0.00405679513184584
9,E.Benjamin,RB,NA,NA,NA,NA,NA,NA,13,0,0,0,3.2,2,2.7,4,1,1,9,0,0.00202839756592292
10,J.Howard,RB,NA,NA,NA,NA,NA,NA,1,0,0,0,0.1,1,0.1,1,0,0,0,0,0
